Query.Mass,Name,Formula,Exact.Mass,PubChem.CID,KEGG.ID
85.02901093,"2,2'-Bioxirane",C4H6O2,86.03677943,,
85.02901093,Cyclopropane carboxylic acid,C4H6O2,86.03677943,,
85.02901093,2-Butenoic acid,C4H6O2,86.03677943,,
85.02901093,Methacrylic acid,C4H6O2,86.03677943,,
85.02901093,"2,3-Butanedione",C4H6O2,86.03677943,,
85.02901093,Butanedial,C4H6O2,86.03677943,,
85.02901093,"2-Methyl-2H-1,3-dioxole",C4H6O2,86.03677943,,
85.02901093,dl-Diepoxybutane,C4H6O2,86.03677943,,
85.02901093,4-Butyrolactone,C4H6O2,86.03677943,,
85.02901093,Oxolan-3-one,C4H6O2,86.03678,,
85.02901093,4-Deoxytetronic acid,C4H6O2,86.03677944,,
85.02901093,Methyl acrylate,C4H6O2,86.0368,7294,C19443
85.02901093,Vinyl acetate,C4H6O2,86.0368,7904,C19309
85.02901093,beta-Butyrolactone,C4H6O2,86.0368,18303,C19201
85.02901093,Succinic aldehyde,C4H6O2,86.0368,12524,C16835
85.02901093,Cyclopropanecarboxylate,C4H6O2,86.0368,15655,C16267
85.02901093,"2-Butyne-1,4-diol",C4H6O2,86.0368,8066,C02497
85.02901093,Diacetyl,C4H6O2,86.03678,650,C00741
85.02901093,Dihydrofuran-2(3H)-one,C4H6O2,86.03678,7302,C01770
85.02901093,Isocrotonic acid;Crotonic acid;but-2-enoic acid,C4H6O2,86.03678,643792;637090;19499,;C01771;
85.02901093,Vinyl acetic acid,C4H6O2,86.03678,32743,
87.0079779,"1,3-Dioxolan-2-one",C3H4O3,88.01604399,,
87.0079779,2-Oxopropanoic acid,C3H4O3,88.01604399,,
87.0079779,Glucosereductone,C3H4O3,88.01604399,4451502,
87.0079779,Malonic semialdehyde,C3H4O3,88.01604399,,
87.0079779,Pyruvate,C3H4O3,88.01604399,1060,
87.0079779,Ethylene carbonate,C3H4O3,88.016,7303,C20363
87.0079779,3-Hydroxypropenoate,C3H4O3,88.016,449065,C12069
87.0079779,3-Oxopropanoate,C3H4O3,88.016,868,C00222
87.0079779,Pyruvic acid,C3H4O3,88.016045,1060,C00022
89.02360249,Methoxyacetic acid,C3H6O3,90.03169405,,
89.02360249,Dihydroxyacetone,C3H6O3,90.03169405,,
89.02360249,"1,3,5-Trioxane",C3H6O3,90.03169405,,
89.02360249,methoxyacetic acid,C3H6O3,90.03169406,12251,
89.02360249,Monoethyl carbonate,C3H6O3,90.03169406,105349,
89.02360249,Dimethyl carbonate,C3H6O3,90.03169406,12021,
89.02360249,D-(+)-Glyceraldehyde,C3H6O3,90.03169406,79014,
89.02360249,D-Lactic acid,C3H6O3,90.03169406,61503,
89.02360249,L-Lactic acid,C3H6O3,90.03169406,,
89.02360249,í_Œ_-lactic acid,C3H6O3,90.03169406,,
89.02360249,Dihydroxyacetone (glycerone),C3H6O3,90.03169406,,
89.02360249,Lactic acid,C3H6O3,90.03169406,612,
